Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
.,io.jhdf.btree,BTreeV1Data,2,0,2,1,83,2,2,1,1.0,2,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Data.java,26
.,io.jhdf.btree,BTreeV1Data.BTreeV1DataLeafNode,1,0,0,0,38,0,0,2,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Data.java,42
.,io.jhdf.btree,BTreeV1Data.BTreeV1DataNonLeafNode,1,0,0,0,32,0,0,2,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Data.java,93
.,io.jhdf.btree,BTreeV1Group,2,0,1,0,52,1,2,1,0.0,2,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Group.java,19
.,io.jhdf.btree,BTreeV1Group.BTreeV1GroupLeafNode,1,0,0,0,19,0,0,2,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Group.java,30
.,io.jhdf.btree,BTreeV1Group.BTreeV1GroupNonLeafNode,1,0,0,0,24,0,0,2,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV1Group.java,59
.,io.jhdf.btree,BTreeV2,9,0,8,4,129,19,0,0,0.0,2,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\BTreeV2.java,31
.,io.jhdf.btree,BTreeV1Test,1,0,6,0,36,6,0,0,0.0,0,6,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\btree\BTreeV1Test.java,35
.,io.jhdf.btree.record,AttributeNameForIndexedAttributesRecord,4,0,5,5,27,6,0,1,0.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\AttributeNameForIndexedAttributesRecord.java,18
.,io.jhdf.btree.record,BTreeDatasetChunkRecord,0,0,1,1,3,1,2,1,-1.0,0,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\BTreeDatasetChunkRecord.java,14
.,io.jhdf.btree.record,BTreeRecord,0,0,1,1,0,13,4,0,-1.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\BTreeRecord.java,18
.,io.jhdf.btree.record,FilteredDatasetChunks,1,0,2,2,21,3,0,2,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\FilteredDatasetChunks.java,20
.,io.jhdf.btree.record,HugeFractalHeapObjectUnfilteredRecord,3,0,4,4,22,5,0,1,0.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\HugeFractalHeapObjectUnfilteredRecord.java,17
.,io.jhdf.btree.record,LinkNameForIndexedGroupRecord,2,0,3,3,17,4,0,1,0.0,1,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\LinkNameForIndexedGroupRecord.java,17
.,io.jhdf.btree.record,NonFilteredDatasetChunks,1,0,2,2,18,3,0,2,0.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\btree\record\NonFilteredDatasetChunks.java,19
.,io.jhdf.btree.record,BTreeRecordTest,0,0,2,0,14,2,0,0,-1.0,0,3,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\btree\record\BTreeRecordTest.java,18
.,io.jhdf.btree.record,LinkNameForIndexedGroupRecordTest,0,0,2,0,18,2,0,0,-1.0,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\btree\record\LinkNameForIndexedGroupRecordTest.java,22
.,io.jhdf.checksum,ChecksumUtils,0,0,4,3,26,5,0,0,-1.0,6,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\checksum\ChecksumUtils.java,16
.,io.jhdf.checksum,JenkinsLookup3HashLittle,1,0,6,4,0,20,0,0,0.6666666666666666,3,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\checksum\JenkinsLookup3HashLittle.java,17
.,io.jhdf.checksum,ChecksumUtilsTest,3,0,3,0,23,3,0,0,0.0,0,2,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\test\java\io\jhdf\checksum\ChecksumUtilsTest.java,22
.,io.jhdf.dataset.chunked,Chunk,0,0,4,0,18,4,0,0,-1.0,4,0,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\Chunk.java,14
.,io.jhdf.dataset.chunked,ChunkedDatasetBase,2,0,18,7,193,34,2,0,0.1111111111111111,0,7,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetBase.java,37
.,io.jhdf.dataset.chunked,ChunkedDatasetBase.FilterPipelineLazyInitializer,0,0,0,0,15,0,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetBase.java,264
.,io.jhdf.dataset.chunked,ChunkedDatasetV3,3,0,3,2,36,3,0,1,0.0,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetV3.java,32
.,io.jhdf.dataset.chunked,ChunkedDatasetV3.ChunkLookupLazyInitializer,0,0,0,0,11,0,0,0,-1.0,0,1,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetV3.java,68
.,io.jhdf.dataset.chunked,ChunkedDatasetV4,3,0,3,2,0,3,0,1,0.0,0,4,D:\Dalhousie\Summer 2023\Software Engineering\Assignment\Assignment3\jhdf\jhdf\.\src\main\java\io\jhdf\dataset\chunked\ChunkedDatasetV4.java,38
